Individual ID (paper),delta13ccol,delta15n,delta13cap,C/N,RCYBP,Error,MidPoint,PeriodName,PeriodID,age,sex,site,Setting2,Setting,Estimated Latitude,Estimated Longitude,material,body part,source,
2,-16.9,8.8,-10.5,3.3,,,3510,Middle Archaic II,2,,U,41HY161,Inland,Ctx,29.6962361,-97.8450888,collagen and apatite,bone,Munoz et al. 2011 in Mauldin et al. 2013,
"Zone II, Unit C, Level 26, Lot 124",-17.24,10.04,-8.96,3.54,3321,30,3530,Middle Archaic II,2,juvenile,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
,-16.5,7.7,-9.9,,,,3550,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
,-15.8,7.8,-10.1,,,,3550,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Bement 1994 in Mauldin et al. 2013,
"Zone II, Unit C, Level 25, Lot 136",-16.14,8.63,-8.39,3.55,3404,27,3640,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit D, Level 29, Lot 112",-17,8.71,-8.02,3.41,3433,30,3683,Middle Archaic II,2,juvenile,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit A, Analytical level 27, Lot 103",-15.57,9.47,-7.82,3.47,3474,36,3750,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit C, Level 25, Lot 123",-14.7,8.77,-6.37,3.45,3506,29,3771,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit B, Level -3, Analytical Level II-26, Lot 118",-15.34,9.55,-7.51,3.31,3514,27,3776,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone 1, Unit D, Analytical level 24, Lot 283",-14.7,9.03,-8.68,3.43,3515,34,3779,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit I, Level 25, Lot 357",-16.13,8.85,-8.8,3.53,3549,26,3843,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit A, Level -5, Analytical level II-27, Lot 140",-15.63,9.16,-8,3.22,3551,31,3845,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit B, Level -4, Analytical Level II-27, Lot 131",-15.28,9.9,-7.47,3.41,3554,28,3850,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit K, Level 27, Lot 371",-16.16,9,-8.29,3.62,3561,39,3857,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
1527.9,-22.1,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
517,-18.4,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
798.1,-18.1,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
1755,-15.5,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
70,-13.7,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
541,-13.2,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
171,-12,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
1450,-11.4,,,,,,4000,Middle Archaic II,2,,U,Seminole Sink,Inland,Ctx,29.6885614,-101.532264,collagen,bone,Turpin 1988 in Bousman and Quigg 2006,
"Zone II, Unit J, Level 28, Lot 345",-15.94,9.12,-8.18,3.53,3732,31,4082,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit I, Level 26, Lot 206",-15.83,9.22,-7.85,3.5,3745,32,4103,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit D, Level 29, Lot 111",-16.08,9.15,-7.85,3.52,3747,28,4108,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
"Zone II, Unit C, Level 25, Lot 136",-16.56,8.21,-8.35,3.62,3785,37,4164,Middle Archaic II,2,,U,41KR241,Inland,Ctx,30.0360514,-99.3376702,collagen and apatite,bone,Mauldin 2020 unpublished NSF data,
